NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,13.92,13.92,3,14.00,14.00,1,13.83,13.83,3,14.00,14.00,6,14.03,14.03,5,14.02,14.02
3,10.56,24.48,5,10.80,24.80,2,10.48,24.31,6,10.92,24.92,1,10.15,24.18,4,10.59,24.61
3,10.45,34.93,4,10.28,35.08,2,10.49,34.80,5,10.17,35.09,1,10.42,34.60,6,10.53,35.14
3,10.47,45.40,5,10.44,45.52,2,10.48,45.28,6,10.54,45.63,1,10.56,45.16,4,10.37,45.51
6,10.18,55.58,4,9.99,55.51,1,9.72,55.00,5,9.93,55.56,2,10.17,55.33,3,9.99,55.50
4,9.73,1:05.31,3,9.78,1:05.29,1,9.54,1:04.54,6,9.91,1:05.47,2,9.92,1:05.25,5,9.84,1:05.34
2,9.79,1:15.10,3,9.83,1:15.12,1,9.50,1:14.04,5,9.84,1:15.31,4,9.88,1:15.13,6,10.62,1:15.96
2,9.66,1:24.76,3,9.76,1:24.88,1,9.83,1:23.87,4,9.73,1:25.04,5,10.24,1:25.37,6,10.10,1:26.06
2,9.90,1:34.66,4,10.03,1:34.911,1,10.04,1:33.91,3,9.86,1:34.904,5,10.67,1:36.044,6,10.27,1:36.332
