Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
3,7.27,7.27,1,6.89,6.89,2,7.03,7.03,4,7.38,7.38,5,7.39,7.39
3,9.03,16.30,1,8.90,15.79,2,9.11,16.14,4,9.39,16.77,5,9.55,16.94
2,8.59,24.89,1,8.42,24.21,3,8.89,25.03,4,8.85,25.62,5,8.87,25.81
2,8.96,33.85,1,8.50,32.71,3,9.01,34.04,5,9.92,35.54,4,8.86,34.67
2,9.31,43.151,1,8.60,41.306,3,9.38,43.420,5,10.02,45.558,4,9.05,43.716
