LIU Xiao Liang POSITION,LIU Xiao Liang LAP TIME,LIU Xiao Liang ELAPSED TIME,Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Vitali BAZYLENKO POSITION,Vitali BAZYLENKO LAP TIME,Vitali BAZYLENKO ELAPSED TIME,Benoit DEVILLE DUC POSITION,Benoit DEVILLE DUC LAP TIME,Benoit DEVILLE DUC ELAPSED TIME,SERHEYKO Mykhaylo POSITION,SERHEYKO Mykhaylo LAP TIME,SERHEYKO Mykhaylo ELAPSED TIME,YEO Jun-Hyung POSITION,YEO Jun-Hyung LAP TIME,YEO Jun-Hyung ELAPSED TIME
3,22.499,22.499,1,22.122,22.122,6,22.768,22.768,5,22.736,22.736,4,22.553,22.553,2,22.133,22.133,7,23.118,23.118
3,14.411,36.909,2,14.723,36.845,6,15.091,37.859,5,14.898,37.633,4,14.764,37.316,1,14.000,36.132,7,14.814,37.932
2,11.401,48.309,3,11.540,48.384,6,11.123,48.981,5,11.174,48.806,4,11.243,48.559,1,11.126,47.258,7,11.163,49.094
3,11.566,59.875,2,11.385,59.769,4,10.997,59.978,6,11.357,1:00.163,5,11.529,1:00.087,1,11.703,58.961,7,11.164,1:00.257
3,12.743,1:12.617,2,12.704,1:12.472,4,12.837,1:12.814,7,12.799,1:12.962,5,12.733,1:12.819,1,13.473,1:12.433,6,12.672,1:12.928
3,13.477,1:26.094,1,13.317,1:25.789,5,13.530,1:26.344,6,13.471,1:26.432,4,13.464,1:26.283,2,13.476,1:25.909,7,13.670,1:26.598
3,14.299,1:40.392,1,14.133,1:39.922,4,14.061,1:40.404,6,14.076,1:40.507,5,14.135,1:40.417,2,14.153,1:40.062,7,14.012,1:40.610
3,13.730,1:54.122,1,14.082,1:54.003,5,14.205,1:54.609,6,14.298,1:54.805,4,14.000,1:54.417,2,14.002,1:54.064,7,14.238,1:54.848
3,14.181,2:08.303,2,13.880,2:07.883,5,14.050,2:08.659,7,13.989,2:08.793,4,13.940,2:08.356,1,13.804,2:07.867,6,13.913,2:08.760
3,13.384,2:21.687,2,13.734,2:21.616,5,13.636,2:22.295,7,14.764,2:23.557,4,13.674,2:22.029,1,13.687,2:21.554,6,13.658,2:22.418
3,13.971,2:35.657,2,13.885,2:35.500,6,13.843,2:36.138,5,12.376,2:35.933,4,13.834,2:35.863,1,13.915,2:35.469,7,13.875,2:36.292
3,13.682,2:49.339,2,13.625,2:49.124,6,13.599,2:49.736,5,13.664,2:49.597,4,13.715,2:49.577,1,13.645,2:49.114,7,13.727,2:50.019
3,13.532,3:02.870,1,13.484,3:02.608,6,13.444,3:03.179,5,13.526,3:03.122,4,13.524,3:03.101,2,13.518,3:02.631,7,13.590,3:03.609
3,12.414,3:15.284,1,12.628,3:15.235,2,12.101,3:15.279,5,12.554,3:15.676,6,12.663,3:15.763,4,12.686,3:15.317,7,12.282,3:15.890
5,11.011,3:26.294,3,10.694,3:25.929,2,10.428,3:25.706,7,10.812,3:26.487,4,10.420,3:26.183,6,11.077,3:26.393,1,9.360,3:25.250
6,9.798,3:36.092,5,10.151,3:36.080,2,9.962,3:35.668,7,9.859,3:36.345,4,9.724,3:35.907,3,9.278,3:35.671,1,10.200,3:35.449
7,11.593,3:47.684,5,11.387,3:47.466,4,11.684,3:47.352,6,11.213,3:47.558,3,11.165,3:47.072,2,11.214,3:46.884,1,11.383,3:46.831
5,11.272,3:58.956,7,11.643,3:59.109,4,11.544,3:58.895,6,11.473,3:59.030,3,11.728,3:58.800,2,11.908,3:58.792,1,11.674,3:58.505
7,11.779,4:10.734,6,11.347,4:10.456,3,11.064,4:09.959,4,11.108,4:10.138,2,11.113,4:09.912,5,11.451,4:10.243,1,11.337,4:09.842
7,10.870,4:21.604,4,11.092,4:21.547,3,11.394,4:21.353,5,11.436,4:21.573,2,11.403,4:21.315,6,11.334,4:21.577,1,11.222,4:21.063
6,11.211,4:32.815,3,11.088,4:32.635,7,11.554,4:32.907,4,11.194,4:32.767,2,11.218,4:32.533,5,11.232,4:32.808,1,11.284,4:32.347
2,9.493,4:42.307,6,10.564,4:43.199,5,9.789,4:42.696,7,10.579,4:43.346,3,9.990,4:42.522,4,9.848,4:42.656,1,9.937,4:42.283
3,9.900,4:52.207,6,10.059,4:53.257,4,9.916,4:52.611,7,10.611,4:53.957,2,9.682,4:52.204,5,10.039,4:52.694,1,9.857,4:52.140
3,10.232,5:02.438,5,10.096,5:03.352,4,9.910,5:02.521,7,10.924,5:04.880,2,10.126,5:02.329,6,10.933,5:03.627,1,9.971,5:02.110
3,9.995,5:12.433,5,10.515,5:13.867,4,10.069,5:12.590,7,11.302,5:16.181,2,10.102,5:12.431,6,11.372,5:14.998,1,10.039,5:12.148
2,9.804,5:22.237,5,10.980,5:24.847,3,9.722,5:22.311,7,11.860,5:28.041,4,10.524,5:22.954,6,11.709,5:26.707,1,10.017,5:22.165
2,10.15,5:32.378,5,11.75,5:36.595,3,10.36,5:32.664,7,12.40,5:40.435,4,11.03,5:33.982,6,12.29,5:38.990,1,10.17,5:32.326
