Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME
1,6.92,6.92,3,7.33,7.33,2,7.09,7.09,4,7.46,7.46
1,9.15,16.07,3,9.36,16.69,2,9.05,16.14,4,9.44,16.90
2,8.78,24.85,3,8.88,25.57,1,8.64,24.78,4,8.80,25.70
2,8.97,33.82,4,9.04,34.61,1,8.90,33.68,3,8.91,34.61
2,9.02,42.838,4,9.63,44.237,1,9.03,42.702,3,9.56,44.170
