SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
2,13.10,13.10,4,13.21,13.21,1,13.01,13.01,3,13.19,13.19,5,13.37,13.37
2,9.99,23.09,4,10.03,23.24,1,9.94,22.95,3,9.98,23.17,5,10.01,23.38
2,9.94,33.03,4,9.97,33.21,1,9.97,32.92,3,9.95,33.12,5,9.93,33.31
2,9.96,42.99,4,10.05,43.26,1,9.98,42.90,3,10.04,43.16,5,10.13,43.44
1,9.36,52.35,3,9.27,52.53,2,9.56,52.46,4,9.51,52.67,5,9.32,52.76
1,9.46,1:01.81,3,9.48,1:02.01,2,9.47,1:01.93,4,9.43,1:02.10,5,9.43,1:02.19
1,9.61,1:11.42,3,9.58,1:11.59,2,9.56,1:11.49,4,9.58,1:11.68,5,9.64,1:11.83
1,9.53,1:20.95,4,9.84,1:21.43,2,9.58,1:21.07,3,9.53,1:21.21,5,9.66,1:21.49
1,9.60,1:30.551,4,9.82,1:31.242,2,9.69,1:30.754,3,9.62,1:30.812,5,9.86,1:31.337
