Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
1,9.33,9.33,4,9.56,9.56,3,9.47,9.47,6,9.70,9.70,5,9.68,9.68,2,9.34,9.34
2,13.75,23.08,5,13.82,23.38,4,13.75,23.22,3,13.51,23.21,6,13.82,23.50,1,13.67,23.01
2,12.33,35.41,5,12.37,35.75,3,12.26,35.48,1,12.08,35.29,6,12.34,35.84,4,12.59,35.60
3,11.97,47.38,4,11.69,47.44,2,11.80,47.28,1,11.94,47.23,6,11.83,47.67,5,11.92,47.52
5,11.09,58.47,1,10.73,58.17,4,11.02,58.30,2,11.01,58.24,6,10.97,58.64,3,10.77,58.29
5,10.86,1:09.33,3,10.90,1:09.07,2,10.72,1:09.02,1,10.75,1:08.99,6,10.82,1:09.46,4,10.93,1:09.22
5,10.64,1:19.97,3,10.70,1:19.77,2,10.63,1:19.65,1,10.60,1:19.59,6,10.61,1:20.07,4,10.64,1:19.86
5,10.30,1:30.27,2,10.21,1:29.98,4,10.44,1:30.09,3,10.46,1:30.05,6,10.31,1:30.38,1,10.12,1:29.98
5,9.76,1:40.03,2,9.91,1:39.89,4,9.94,1:40.03,3,9.91,1:39.96,6,9.84,1:40.22,1,9.82,1:39.80
5,10.05,1:50.08,3,9.92,1:49.81,4,9.92,1:49.95,2,9.75,1:49.71,6,9.95,1:50.17,1,9.81,1:49.61
5,9.80,1:59.88,3,9.82,1:59.63,4,9.80,1:59.75,2,9.79,1:59.50,6,9.76,1:59.93,1,9.82,1:59.43
5,9.57,2:09.45,3,9.44,2:09.07,4,9.58,2:09.33,2,9.49,2:08.99,6,9.75,2:09.68,1,9.48,2:08.91
4,9.65,2:19.10,1,9.63,2:18.70,3,9.76,2:19.09,2,9.83,2:18.82,5,9.63,2:19.31,6,18.76,2:27.67
2,9.59,2:28.681,1,9.85,2:28.541,3,9.86,2:28.949,0,,PEN,4,9.77,2:29.074,5,18.70,2:46.363
