Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME
2,13.57,13.57,1,13.49,13.49,3,13.66,13.66,4,13.81,13.81
2,10.11,23.68,1,10.05,23.54,3,10.09,23.75,4,9.99,23.80
2,9.58,33.26,1,9.60,33.14,4,9.59,33.34,3,9.52,33.32
2,9.65,42.91,1,9.65,42.79,3,9.68,43.02,4,9.79,43.11
2,9.65,52.56,1,9.68,52.47,3,9.65,52.67,4,9.74,52.85
2,9.65,1:02.21,1,9.62,1:02.09,3,9.65,1:02.32,4,9.63,1:02.48
2,9.40,1:11.61,1,9.45,1:11.54,3,9.45,1:11.77,4,9.62,1:12.10
1,9.29,1:20.90,2,9.54,1:21.08,3,9.51,1:21.28,4,10.08,1:22.18
1,9.56,1:30.455,2,9.56,1:30.636,3,9.76,1:31.039,4,11.46,1:33.639
