BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME
1,6.71,6.71,2,6.83,6.83,3,6.96,6.96,4,7.14,7.14
1,8.76,15.47,2,8.79,15.62,3,8.78,15.74,4,8.69,15.83
1,8.24,23.71,2,8.19,23.81,3,8.20,23.94,4,8.20,24.03
3,8.57,32.28,1,8.27,32.08,2,8.20,32.14,3,8.25,32.28
4,8.86,41.14,1,8.52,40.60,0,8.62,40.76,0,8.50,40.78
