Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME
2,9.01,9.01,1,8.92,8.92,5,9.13,9.13,3,9.03,9.03,4,9.11,9.11
4,12.55,21.56,2,12.32,21.24,5,12.55,21.68,3,12.43,21.46,1,11.98,21.09
4,12.05,33.61,1,11.94,33.18,5,12.06,33.74,3,12.03,33.49,2,12.20,33.29
4,12.17,45.78,1,12.20,45.38,5,12.11,45.85,3,12.17,45.66,2,12.18,45.47
5,12.57,58.35,1,12.64,58.02,2,12.20,58.05,4,12.58,58.24,3,12.67,58.14
4,10.90,1:09.25,3,11.08,1:09.10,1,10.92,1:08.97,2,10.76,1:09.00,5,11.19,1:09.33
4,10.88,1:20.13,3,10.88,1:19.98,2,10.86,1:19.83,1,10.80,1:19.80,5,10.89,1:20.22
4,11.09,1:31.22,3,11.12,1:31.10,2,11.14,1:30.97,1,11.01,1:30.81,5,11.11,1:31.33
3,10.56,1:41.78,4,10.72,1:41.82,2,10.72,1:41.69,1,10.73,1:41.54,5,10.64,1:41.97
3,10.10,1:51.88,4,10.25,1:52.07,2,10.06,1:51.75,1,10.08,1:51.62,5,10.24,1:52.21
3,9.75,2:01.63,4,9.90,2:01.97,2,9.74,2:01.49,1,9.79,2:01.41,5,9.86,2:02.07
3,9.51,2:11.14,4,10.18,2:12.15,1,9.45,2:10.94,2,9.65,2:11.06,5,10.15,2:12.22
3,9.49,2:20.63,5,10.70,2:22.85,1,9.44,2:20.38,2,9.46,2:20.52,4,10.62,2:22.84
3,9.58,2:30.209,5,11.42,2:34.262,1,9.59,2:29.967,2,9.61,2:30.125,4,10.59,2:33.428
