Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
2,14.67,14.67,1,14.54,14.54,3,14.78,14.78,4,14.91,14.91
2,10.96,25.63,1,10.99,25.53,3,10.95,25.73,4,10.94,25.85
2,10.27,35.90,1,10.25,35.78,3,10.27,36.00,4,10.26,36.11
2,9.97,45.87,1,9.99,45.77,4,10.06,46.06,3,9.84,45.95
2,9.73,55.60,1,9.71,55.48,4,9.76,55.82,3,9.75,55.70
2,9.15,1:04.75,1,9.18,1:04.66,4,9.13,1:04.95,3,9.15,1:04.85
2,8.96,1:13.71,1,9.03,1:13.69,4,8.99,1:13.94,3,9.01,1:13.86
1,9.03,1:22.74,2,9.16,1:22.85,4,9.10,1:23.04,3,9.09,1:22.95
1,9.18,1:31.895,2,9.15,1:31.991,4,9.34,1:32.370,3,9.24,1:32.168
