MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
3,7.85,7.85,1,7.65,7.65,2,7.75,7.75,4,7.99,7.99
3,9.80,17.65,1,9.82,17.47,2,9.87,17.62,4,9.77,17.76
3,9.31,26.96,1,9.32,26.79,4,9.43,27.05,2,9.18,26.94
2,9.24,36.20,1,9.29,36.08,4,9.50,36.55,3,9.53,36.47
2,9.54,45.74,1,9.57,45.65,4,9.52,46.049,3,9.53,45.976
