Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,12.68,12.68,1,12.37,12.37,5,12.71,12.71,2,12.44,12.44,3,12.57,
2,9.25,21.93,3,9.59,21.96,5,9.47,22.18,1,9.47,21.91,4,9.54,
1,8.75,30.68,3,8.94,30.90,5,8.95,31.13,2,8.90,30.81,4,8.93,
1,9.01,39.69,3,8.96,39.86,5,8.90,40.03,2,8.96,39.77,4,8.91,
2,9.03,48.72,3,8.93,48.79,5,9.02,49.05,1,8.88,48.65,4,9.00,
2,9.06,57.78,3,9.07,57.86,5,8.97,58.02,1,9.03,57.68,4,8.99,
2,9.16,1:06.94,4,9.29,1:07.15,5,9.24,1:07.26,1,9.15,1:06.83,3,9.08,
2,9.24,1:16.18,4,9.27,1:16.42,5,9.33,1:16.59,1,9.24,1:16.07,3,9.21,
4,10.97,1:27.15,2,9.42,1:25.84,3,9.38,1:25.977,1,9.39,1:25.46,5,12.39,
