Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME,Benjamin KOCH POSITION,Benjamin KOCH LAP TIME,Benjamin KOCH ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
1,6.912,6.912,4,7.401,7.401,2,7.058,7.058,3,7.211,7.211
1,9.304,16.216,4,9.913,17.314,2,9.233,16.290,3,9.281,16.492
1,9.018,25.233,4,9.667,26.981,3,9.275,25.565,2,8.926,25.418
2,9.193,34.426,4,9.891,36.871,3,9.118,34.682,1,8.913,34.330
2,9.49,43.914,4,10.15,47.016,3,9.30,43.974,1,9.39,43.717
