LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Rafal PIORECKI POSITION,Rafal PIORECKI LAP TIME,Rafal PIORECKI ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
3,8.71,8.71,2,8.49,8.49,4,8.98,8.98,1,8.26,8.26,5,8.99,8.99,6,9.31,9.31
3,12.22,20.93,2,12.35,20.84,5,12.27,21.26,1,12.46,20.73,4,12.23,21.23,6,12.17,21.48
2,12.12,33.06,3,12.23,33.08,5,12.15,33.42,1,12.20,32.93,4,12.17,33.41,6,12.12,33.60
2,11.96,45.02,3,12.15,45.23,5,11.88,45.30,1,11.95,44.89,4,11.83,45.25,6,11.78,45.38
5,10.36,55.39,3,10.01,55.24,6,10.19,55.49,1,10.15,55.05,4,10.13,55.38,2,9.84,55.23
4,9.85,1:05.24,5,10.09,1:05.34,3,9.71,1:05.20,2,9.96,1:05.01,6,9.96,1:05.35,1,9.74,1:04.98
4,9.93,1:15.17,3,9.63,1:14.97,5,10.01,1:15.22,1,9.73,1:14.75,6,9.98,1:15.33,2,9.97,1:14.96
1,9.20,1:24.38,5,9.90,1:24.88,4,9.59,1:24.82,2,9.65,1:24.40,6,9.73,1:25.07,3,9.68,1:24.64
2,9.24,1:33.62,6,9.32,1:34.21,4,9.17,1:33.99,1,9.10,1:33.51,5,8.97,1:34.05,3,9.14,1:33.79
3,9.53,1:43.16,6,9.24,1:43.45,5,9.34,1:43.33,1,9.38,1:42.90,4,9.22,1:43.27,2,9.37,1:43.16
3,9.55,1:52.72,6,9.56,1:53.02,4,9.59,1:52.93,1,9.65,1:52.55,5,9.71,1:52.99,2,9.40,1:52.56
3,9.25,2:01.97,6,9.80,2:02.82,5,9.40,2:02.33,1,9.26,2:01.81,4,9.27,2:02.26,2,9.29,2:01.86
1,9.01,2:10.98,6,10.12,2:12.95,4,9.50,2:11.83,2,9.25,2:11.06,5,9.61,2:11.87,3,9.23,2:11.09
0,,DQ,5,11.32,2:24.262,2,9.81,2:21.639,4,12.00,2:23.054,3,10.32,2:22.184,1,9.63,2:20.716
