Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Ivanie BLONDIN POSITION,Ivanie BLONDIN LAP TIME,Ivanie BLONDIN ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME
0,9.925,9.925,0,9.398,9.398,0,9.527,9.527,0,9.663,9.663,0,9.725,9.725,0,9.452,9.452
0,12.944,22.870,0,13.139,22.537,0,13.014,22.541,0,13.028,22.691,0,12.961,22.686,0,13.280,22.731
0,13.149,36.018,0,13.649,36.186,0,13.343,35.884,0,13.332,36.023,0,13.050,35.736,0,13.322,36.054
0,11.896,47.915,0,12.417,48.603,0,12.256,48.139,0,12.337,48.359,0,12.390,48.127,0,12.302,48.355
0,12.345,1:00.260,0,11.943,1:00.546,0,12.288,1:00.427,0,12.232,1:00.592,0,12.289,1:00.416,0,12.225,1:00.580
0,12.357,1:12.616,0,12.420,1:12.966,0,12.338,1:12.765,0,12.021,1:12.613,0,12.430,1:12.846,0,12.307,1:12.887
0,10.255,1:22.872,0,10.162,1:23.128,0,10.308,1:23.073,0,10.009,1:22.622,0,10.328,1:23.174,0,10.345,1:23.231
0,10.555,1:33.427,0,10.366,1:33.494,0,10.120,1:33.193,0,10.594,1:33.216,0,10.042,1:33.216,0,10.505,1:33.737
0,9.957,1:43.384,0,9.997,1:43.491,0,10.174,1:43.367,0,10.080,1:43.295,0,10.268,1:43.484,0,9.996,1:43.733
0,9.786,1:53.169,0,9.691,1:53.182,0,9.705,1:53.072,0,9.830,1:53.125,0,9.816,1:53.300,0,9.876,1:53.609
0,9.741,2:02.910,0,9.767,2:02.949,0,9.706,2:02.778,0,9.203,2:02.328,0,9.446,2:02.746,0,9.660,2:03.269
0,9.690,2:12.600,0,9.475,2:12.423,0,10.099,2:12.877,0,9.450,2:11.778,0,4.337,2:07.083,0,9.729,2:12.998
0,9.861,2:22.461,0,9.864,2:22.287,0,10.313,2:23.190,0,9.541,2:21.319,0,14.465,2:21.548,0,10.250,2:23.248
0,10.292,2:32.753,0,10.393,2:32.680,0,10.289,2:33.479,0,10.304,2:31.623,0,11.222,2:32.769,0,10.541,2:33.788
