KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Margaux MAURICE POSITION,Margaux MAURICE LAP TIME,Margaux MAURICE ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME
2,14.65,14.65,4,14.86,14.86,1,14.55,14.55,3,14.75,14.75
2,12.08,26.73,4,12.11,26.97,1,12.07,26.62,3,12.05,26.80
1,12.23,38.96,4,12.34,39.31,2,12.41,39.03,3,12.38,39.18
1,10.58,49.54,4,10.65,49.96,2,10.67,49.70,3,10.61,49.79
1,10.24,59.78,4,10.16,1:00.12,2,10.14,59.84,3,10.17,59.96
3,10.06,1:09.84,4,10.04,1:10.16,1,9.57,1:09.41,2,9.60,1:09.56
3,9.66,1:19.50,4,10.39,1:20.55,1,9.74,1:19.15,2,9.68,1:19.24
3,9.74,1:29.24,4,10.77,1:31.32,1,9.94,1:29.09,2,9.93,1:29.17
3,10.25,1:39.483,4,11.52,1:42.834,1,10.22,1:39.309,2,10.23,1:39.399
