Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME
1,7.17,7.17,4,7.50,7.50,2,7.28,7.28,3,7.48,7.48
1,9.35,16.52,4,24.25,31.75,2,9.34,16.62,3,9.87,17.35
1,8.83,25.35,4,16.27,48.02,2,8.81,25.43,3,9.15,26.50
1,8.96,34.31,4,15.46,1:03.48,2,8.94,34.37,3,9.27,35.77
2,9.24,43.543,4,15.55,1:19.030,1,9.12,43.487,3,9.47,45.235
