Dusan STAMENKOVIC POSITION,Dusan STAMENKOVIC LAP TIME,Dusan STAMENKOVIC ELAPSED TIME,Jonathan LOPEZ POSITION,Jonathan LOPEZ LAP TIME,Jonathan LOPEZ ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
1,9.29,9.29,5,9.85,9.85,6,9.86,9.86,3,9.56,9.56,4,9.66,9.66,2,9.45,9.45
1,14.51,23.80,6,14.83,24.68,5,14.62,24.48,2,14.49,24.05,4,14.71,24.37,3,14.73,24.18
1,13.43,37.23,6,13.18,37.86,5,13.24,37.72,2,13.34,37.39,4,13.26,37.63,3,13.31,37.49
1,13.20,50.43,6,13.28,51.14,5,13.26,50.98,2,13.18,50.57,4,13.26,50.89,3,13.22,50.71
2,13.13,1:03.56,6,12.88,1:04.02,5,12.89,1:03.87,3,13.10,1:03.67,4,12.90,1:03.79,1,12.78,1:03.49
6,12.28,1:15.84,5,11.21,1:15.23,4,11.23,1:15.10,3,11.36,1:15.03,2,11.14,1:14.93,1,11.25,1:14.74
6,11.73,1:27.57,5,10.88,1:26.11,4,10.92,1:26.02,3,10.90,1:25.93,2,10.87,1:25.80,1,10.94,1:25.68
6,11.85,1:39.42,5,11.32,1:37.43,4,11.29,1:37.31,3,11.30,1:37.23,2,11.27,1:37.07,1,11.21,1:36.89
6,12.16,1:51.58,5,10.58,1:48.01,3,10.35,1:47.66,4,10.62,1:47.85,2,10.50,1:47.57,1,10.55,1:47.44
6,12.67,2:04.25,5,9.90,1:57.91,3,9.50,1:57.16,4,9.41,1:57.26,2,9.48,1:57.05,1,9.48,1:56.92
6,12.96,2:17.21,5,10.25,2:08.16,3,9.00,2:06.16,4,9.07,2:06.33,2,8.98,2:06.03,1,9.10,2:06.02
6,12.67,2:29.88,5,10.30,2:18.46,2,8.76,2:14.92,3,8.81,2:15.14,1,8.83,2:14.86,4,9.14,2:15.16
6,12.43,2:42.31,5,10.41,2:28.87,2,8.88,2:23.80,3,8.77,2:23.91,1,8.92,2:23.78,4,9.04,2:24.20
6,14.37,2:56.676,5,10.82,2:39.690,4,15.23,2:39.026,2,9.20,2:33.106,1,9.22,2:32.999,3,9.14,2:33.332
