SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
2,12.87,12.87,5,13.22,13.22,3,12.97,12.97,4,13.08,13.08,1,12.76,12.76
2,9.70,22.57,5,9.69,22.91,3,9.62,22.59,4,9.68,22.76,1,9.73,22.49
2,9.82,32.39,5,9.87,32.78,3,9.91,32.50,4,9.89,32.65,1,9.89,32.38
1,9.73,42.12,5,9.70,42.48,3,9.81,42.31,4,9.74,42.39,2,9.83,42.21
1,9.80,51.92,4,9.75,52.23,3,9.80,52.11,5,9.92,52.31,2,9.81,52.02
1,9.35,1:01.27,3,9.30,1:01.53,5,9.57,1:01.68,4,9.26,1:01.57,2,9.39,1:01.41
1,9.22,1:10.49,3,9.21,1:10.74,5,9.33,1:11.01,4,9.21,1:10.78,2,9.28,1:10.69
1,9.30,1:19.79,4,9.41,1:20.15,5,9.51,1:20.52,2,9.08,1:19.86,3,9.30,1:19.99
2,9.58,1:29.37,3,9.31,1:29.466,5,10.12,1:30.642,1,9.29,1:29.15,4,9.68,1:29.670
