Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME
1,8.404,8.404,2,8.538,8.538,4,8.626,8.626,3,8.540,8.540,5,8.878,8.878,6,8.907,8.907
3,11.603,20.007,2,11.371,19.908,4,11.471,20.096,1,11.090,19.630,5,11.418,20.295,6,12.916,21.823
3,10.589,30.595,2,10.471,30.378,4,10.583,30.679,1,10.734,30.364,6,10.623,30.918,5,8.975,30.798
5,11.107,41.702,1,10.993,41.371,3,10.868,41.547,2,11.064,41.427,4,10.651,41.568,6,10.987,41.784
6,15.456,57.157,1,11.448,52.818,4,11.436,52.982,2,11.404,52.831,3,11.297,52.865,5,11.375,53.159
1,5.876,1:03.033,3,10.506,1:03.324,5,10.450,1:03.431,4,10.505,1:03.336,2,10.366,1:03.231,6,10.404,1:03.562
2,10.336,1:13.369,4,10.131,1:13.455,5,10.057,1:13.488,3,10.113,1:13.449,1,9.904,1:13.134,6,10.099,1:13.661
2,10.589,1:23.957,5,10.671,1:24.125,3,10.520,1:24.008,4,10.564,1:24.012,1,10.635,1:23.769,6,10.556,1:24.217
3,10.032,1:33.988,5,9.934,1:34.058,2,9.900,1:33.907,6,10.317,1:34.328,1,10.121,1:33.890,4,9.817,1:34.034
1,9.678,1:43.666,4,9.745,1:43.802,5,9.968,1:43.875,6,10.034,1:44.362,3,9.843,1:43.732,2,9.667,1:43.701
3,10.125,1:53.791,5,10.237,1:54.039,4,10.067,1:53.941,6,9.811,1:54.172,1,9.935,1:53.667,2,10.045,1:53.746
4,9.928,2:03.719,5,10.262,2:04.301,2,9.731,2:03.672,6,10.349,2:04.521,3,10.018,2:03.684,1,9.824,2:03.569
4,10.530,2:14.249,5,10.686,2:14.986,3,10.102,2:13.773,6,10.670,2:15.191,2,9.998,2:13.682,1,9.954,2:13.523
4,10.69,2:24.934,5,10.57,2:25.554,3,10.16,2:23.932,6,10.63,2:25.820,2,10.25,2:23.927,1,10.28,2:23.802
