CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Kristina PAPP POSITION,Kristina PAPP LAP TIME,Kristina PAPP ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME
3,9.997,9.997,4,10.010,10.010,6,10.116,10.116,5,10.077,10.077,2,9.871,9.871,1,9.742,9.742
3,14.803,24.800,5,14.976,24.986,6,14.986,25.102,4,14.809,24.886,2,14.835,24.707,1,14.802,24.544
3,14.412,39.212,5,14.510,39.496,6,14.601,39.703,4,14.425,39.311,2,14.447,39.154,1,14.491,39.035
3,14.599,53.812,5,14.636,54.132,6,14.500,54.202,4,14.661,53.972,2,14.533,53.687,1,14.601,53.636
1,13.263,1:07.074,5,13.427,1:07.559,6,13.899,1:08.101,4,13.371,1:07.343,2,13.550,1:07.237,3,13.607,1:07.243
2,11.944,1:19.019,5,11.868,1:19.427,6,13.345,1:21.446,4,11.883,1:19.227,1,11.704,1:18.941,3,11.842,1:19.085
1,10.257,1:29.276,4,10.449,1:29.877,6,13.371,1:34.817,2,10.084,1:29.311,3,10.498,1:29.440,5,10.885,1:29.970
2,10.218,1:39.494,5,10.246,1:40.123,6,13.498,1:48.315,1,10.167,1:39.478,3,10.110,1:39.550,4,9.947,1:39.917
2,10.592,1:50.086,5,10.358,1:50.481,6,14.148,2:02.463,1,10.583,1:50.061,3,10.578,1:50.128,4,10.386,1:50.303
2,10.213,2:00.299,5,10.404,2:00.885,6,13.990,2:16.453,1,10.217,2:00.278,3,10.277,2:00.405,4,10.351,2:00.654
1,9.869,2:10.168,5,10.427,2:11.312,6,14.524,2:30.977,2,9.944,2:10.221,3,9.990,2:10.395,4,9.972,2:10.626
1,10.035,2:20.203,5,11.035,2:22.346,6,14.429,2:45.406,2,10.049,2:20.270,3,9.979,2:20.373,4,9.782,2:20.408
2,10.243,2:30.446,5,11.329,2:33.675,6,14.274,2:59.680,1,10.117,2:30.387,4,10.325,2:30.698,3,10.122,2:30.530
2,10.421,2:40.867,5,12.017,2:45.693,6,14.298,3:13.977,1,10.469,2:40.856,4,10.902,2:41.600,3,10.525,2:41.055
