Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
4,10.99,10.99,3,10.78,10.78,2,10.68,10.68,1,10.67,10.67,5,11.19,11.19,6,11.34,11.34
4,16.78,27.77,3,16.79,27.57,1,16.60,27.28,2,16.76,27.43,5,16.89,28.08,6,16.86,28.20
3,15.63,43.40,5,15.90,43.47,2,16.02,43.30,4,15.99,43.42,1,15.19,43.27,6,15.40,43.60
5,13.42,56.82,1,12.57,56.04,2,13.02,56.32,3,13.06,56.48,4,13.42,56.69,6,13.37,56.97
4,10.98,1:07.80,1,11.34,1:07.38,2,11.25,1:07.57,3,11.21,1:07.69,5,11.18,1:07.87,6,11.03,1:08.00
4,11.34,1:19.14,1,11.41,1:18.79,2,11.31,1:18.88,3,11.33,1:19.02,5,11.47,1:19.34,6,11.44,1:19.44
4,10.68,1:29.82,3,10.92,1:29.71,1,10.73,1:29.61,2,10.67,1:29.69,5,10.67,1:30.01,6,10.65,1:30.09
4,10.35,1:40.17,3,10.37,1:40.08,1,10.24,1:39.85,2,10.30,1:39.99,5,10.34,1:40.35,6,10.33,1:40.42
4,9.84,1:50.01,3,9.76,1:49.84,1,9.73,1:49.58,2,9.71,1:49.70,5,9.79,1:50.14,6,9.85,1:50.27
5,9.37,1:59.38,3,9.20,1:59.04,1,9.24,1:58.82,2,9.25,1:58.95,4,9.02,1:59.16,6,9.24,1:59.51
6,9.54,2:08.92,3,9.23,2:08.27,1,9.13,2:07.95,2,9.19,2:08.14,4,9.22,2:08.38,5,9.24,2:08.75
6,9.74,2:18.66,2,9.37,2:17.64,1,9.26,2:17.21,3,9.51,2:17.65,4,9.30,2:17.68,5,9.50,2:18.25
6,10.23,2:28.89,3,9.58,2:27.22,1,9.53,2:26.74,4,9.77,2:27.42,2,9.15,2:26.83,5,9.93,2:28.18
6,11.10,2:39.988,3,9.57,2:36.784,1,9.71,2:36.442,4,10.24,2:37.656,2,9.73,2:36.558,5,10.43,2:38.609
