Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,7.25,7.25,4,7.40,7.40,1,7.04,7.04,3,7.38,7.38
2,9.29,16.54,4,9.44,16.84,1,9.48,16.52,3,9.35,16.73
3,9.39,25.93,4,9.21,26.05,1,9.33,25.85,2,9.19,25.92
3,9.19,35.12,4,9.21,35.26,2,9.26,35.11,1,9.10,35.02
0,,PEN,2,9.45,44.706,0,,PEN,1,9.48,44.495
