START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,8.94,8.94,2,9.07,9.07,4,9.40,9.40,3,9.23,9.23,6,9.60,9.60,8,9.89,9.89,5,9.52,9.52,7,9.66,9.66,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
2,12.36,21.30,3,12.34,21.41,5,12.31,21.71,4,12.28,21.51,1,11.65,21.25,8,12.15,22.04,6,12.32,21.84,7,12.29,21.95,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
5,11.73,33.03,1,11.40,32.81,6,11.49,33.20,2,11.33,32.84,4,11.72,32.97,8,11.40,33.44,3,11.02,32.86,7,11.35,33.30,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
5,10.77,43.80,3,10.73,43.54,6,10.81,44.01,1,10.53,43.37,4,10.74,43.71,8,10.84,44.28,2,10.61,43.47,7,10.73,44.03,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
4,10.48,54.28,5,10.81,54.35,7,10.47,54.48,1,10.73,54.10,2,10.47,54.18,8,10.40,54.68,3,10.76,54.23,6,10.34,54.37,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
8,10.50,1:04.78,5,9.92,1:04.27,6,10.00,1:04.48,2,9.79,1:03.89,3,9.86,1:04.04,7,9.99,1:04.67,4,10.00,1:04.23,1,9.42,1:03.79,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
7,9.64,1:14.42,5,9.72,1:13.99,6,9.70,1:14.18,2,9.82,1:13.71,3,9.78,1:13.82,8,9.87,1:14.54,4,9.69,1:13.92,1,9.83,1:13.62,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
7,9.82,1:24.24,5,9.96,1:23.95,6,9.94,1:24.12,2,9.95,1:23.66,3,9.93,1:23.75,8,10.08,1:24.62,4,9.96,1:23.88,1,9.93,1:23.55,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
7,9.94,1:34.18,5,9.95,1:33.90,6,9.91,1:34.03,2,9.97,1:33.63,3,9.97,1:33.72,8,10.74,1:35.36,4,9.94,1:33.82,1,9.98,1:33.53,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
7,10.06,1:44.24,5,10.00,1:43.90,6,9.99,1:44.02,2,9.85,1:43.48,3,9.91,1:43.63,8,11.30,1:46.66,4,9.95,1:43.77,1,9.94,1:43.47,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
7,10.22,1:54.46,6,9.86,1:53.76,5,9.66,1:53.68,2,10.06,1:53.54,1,9.78,1:53.41,8,12.07,1:58.73,3,9.85,1:53.62,4,10.19,1:53.66,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
7,10.61,2:05.07,6,10.20,2:03.96,5,10.04,2:03.72,3,10.01,2:03.55,1,9.97,2:03.38,8,12.64,2:11.37,2,9.87,2:03.49,4,10.05,2:03.71,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
7,11.36,2:16.43,6,10.27,2:14.23,3,9.83,2:13.55,4,10.22,2:13.77,1,10.03,2:13.41,8,13.68,2:25.05,2,10.02,2:13.51,5,10.13,2:13.84,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
7,12.15,2:28.58,6,10.62,2:24.85,2,10.19,2:23.74,5,10.62,2:24.39,1,10.21,2:23.62,8,13.85,2:38.90,3,10.31,2:23.82,4,10.23,2:24.07,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),w,Heats,1
