Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,Sebastian HYDZIK POSITION,Sebastian HYDZIK LAP TIME,Sebastian HYDZIK ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME
2,12.65,12.65,4,12.91,12.91,1,12.56,12.56,5,13.03,13.03,3,12.77,12.77
2,9.86,22.51,4,9.81,22.72,1,9.86,22.42,5,9.85,22.88,3,9.83,22.60
3,9.71,32.22,4,9.60,32.32,1,9.60,32.02,5,9.46,32.34,2,9.52,32.12
4,9.28,41.50,5,9.29,41.61,1,9.25,41.27,2,8.94,41.28,3,9.29,41.41
4,8.92,50.42,5,9.05,50.66,2,8.92,50.19,1,8.73,50.01,3,8.88,50.29
4,8.82,59.24,5,9.05,59.71,2,8.80,58.99,1,8.87,58.88,3,8.81,59.10
4,8.84,1:08.08,5,9.36,1:09.07,2,8.87,1:07.86,1,8.87,1:07.75,3,8.87,1:07.97
3,9.21,1:17.29,5,9.70,1:18.77,2,9.24,1:17.10,1,9.22,1:16.97,3,9.32,1:17.29
3,9.17,1:26.46,5,10.10,1:28.87,2,9.23,1:26.33,1,9.28,1:26.25,4,9.46,1:26.75
