PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Mikhail-Jeonghan CHOI POSITION,Mikhail-Jeonghan CHOI LAP TIME,Mikhail-Jeonghan CHOI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
1,6.82,6.82,2,7.04,7.04,3,7.30,7.30,4,7.31,7.31
1,9.22,16.04,2,9.11,16.15,3,9.13,16.43,4,9.33,16.64
4,24.81,40.85,1,8.94,25.09,3,8.78,25.21,2,8.49,25.13
4,25.43,1:06.28,1,8.91,34.00,3,9.07,34.28,2,9.15,34.28
4,15.20,1:21.480,1,9.39,43.384,2,9.24,43.519,3,9.26,43.534
