Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME
2,12.712,12.712,1,12.562,12.562,4,12.896,12.896,3,12.811,12.811
1,9.708,22.420,3,9.992,22.553,4,9.673,22.569,2,9.704,22.514
2,9.561,31.980,1,9.265,31.818,3,9.431,31.999,4,9.723,32.237
1,9.466,41.445,3,9.835,41.653,2,9.487,41.485,4,9.421,41.658
1,9.496,50.941,2,9.352,51.004,3,9.537,51.022,4,9.425,51.083
1,9.497,1:00.437,4,9.630,1:00.634,2,9.512,1:00.534,3,9.506,1:00.588
2,9.268,1:09.705,1,9.008,1:09.642,4,9.348,1:09.881,3,9.222,1:09.810
1,9.226,1:18.931,2,9.400,1:19.041,4,9.317,1:19.198,3,9.277,1:19.086
1,9.48,1:28.408,3,38.48,1:57.515,2,10.24,1:29.437,0,,DQ
