NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME
1,13.94,13.94,4,14.18,14.18,2,14.05,14.05,3,14.16,14.16
2,10.49,24.43,1,10.13,24.31,4,10.58,24.63,3,10.35,24.51
2,10.05,34.48,1,10.00,34.31,4,10.11,34.74,3,10.07,34.58
2,10.15,44.63,1,10.16,44.47,4,10.15,44.89,3,10.16,44.74
2,10.20,54.83,1,10.20,54.67,4,10.14,55.03,3,10.18,54.92
2,9.92,1:04.75,1,9.87,1:04.54,3,9.81,1:04.84,4,9.96,1:04.88
1,9.44,1:14.19,2,9.85,1:14.39,3,9.60,1:14.44,4,9.79,1:14.67
1,9.75,1:23.94,3,9.86,1:24.25,2,9.59,1:24.03,4,9.99,1:24.66
1,9.93,1:33.87,3,9.93,1:34.18,2,9.97,1:34.00,4,10.46,1:35.12
