PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME
3,9.71,22.69,2,9.62,22.58,1,9.50,22.48,4,9.59,22.75
3,9.80,32.49,2,9.76,32.34,1,9.74,32.22,4,9.79,32.54
3,9.32,41.81,1,9.25,41.59,2,9.47,41.69,4,9.32,41.86
4,9.18,50.99,3,9.39,50.98,1,9.18,50.87,2,9.07,50.93
4,9.26,1:00.25,3,9.13,1:00.11,1,8.89,59.76,2,9.08,1:00.01
4,8.88,1:09.13,3,8.92,1:09.03,1,8.86,1:08.62,2,8.89,1:08.90
3,9.03,1:18.16,4,9.20,1:18.23,1,9.05,1:17.67,2,9.18,1:18.08
2,9.23,1:27.385,4,9.45,1:27.679,1,9.44,1:27.104,3,9.60,1:27.675
