Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Thomas de WITTE POSITION,Thomas de WITTE LAP TIME,Thomas de WITTE ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME
3,8.620,8.620,1,8.336,8.336,5,9.079,9.079,4,8.903,8.903,6,9.258,9.258,2,8.536,8.536
3,11.596,20.215,1,11.749,20.085,4,11.432,20.510,5,11.652,20.555,6,11.490,20.747,2,11.565,20.101
3,11.438,31.653,1,11.505,31.590,4,11.472,31.982,5,11.451,32.005,6,11.493,32.239,2,11.545,31.645
1,11.007,42.660,3,11.170,42.759,5,11.151,43.132,4,11.062,43.067,6,11.068,43.307,2,11.101,42.746
1,10.938,53.597,3,11.157,53.916,5,10.881,54.013,4,10.941,54.007,6,10.872,54.178,2,10.891,53.637
1,10.805,1:04.402,3,10.708,1:04.624,5,10.775,1:04.787,4,10.750,1:04.756,6,10.733,1:04.911,2,10.797,1:04.433
3,10.324,1:14.726,5,10.229,1:14.853,1,9.729,1:14.515,4,10.091,1:14.847,6,10.165,1:15.076,2,10.256,1:14.688
4,9.714,1:24.440,5,9.739,1:24.592,1,9.579,1:24.094,3,9.489,1:24.335,6,9.716,1:24.792,2,9.495,1:24.183
4,9.544,1:33.983,6,9.553,1:34.144,1,9.519,1:33.612,2,9.374,1:33.708,5,9.344,1:34.135,3,9.631,1:33.813
4,9.560,1:43.543,6,9.741,1:43.884,1,9.507,1:43.119,2,9.551,1:43.259,5,9.588,1:43.723,3,9.539,1:43.352
6,10.227,1:53.770,5,9.799,1:53.683,1,9.515,1:52.633,2,9.527,1:52.786,4,9.597,1:53.319,3,9.567,1:52.918
6,10.761,2:04.531,5,9.919,2:03.602,2,9.785,2:02.418,1,9.307,2:02.092,4,9.786,2:03.105,3,9.741,2:02.659
6,11.466,2:15.996,5,10.276,2:13.877,2,9.874,2:12.292,1,9.962,2:12.053,4,10.206,2:13.310,3,10.342,2:13.000
6,12.36,2:28.351,5,10.72,2:24.593,1,9.91,2:22.195,2,10.16,2:22.208,4,10.44,2:23.749,3,10.57,2:23.570
