SUN Yingying POSITION,SUN Yingying LAP TIME,SUN Yingying ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
2,16.56,16.56,3,16.69,16.69,4,16.75,16.75,1,16.38,16.38
2,11.66,28.22,4,11.62,28.31,3,11.50,28.25,1,11.70,28.08
3,10.76,38.98,4,10.76,39.07,2,10.64,38.89,1,10.72,38.80
3,10.60,49.58,4,10.57,49.64,2,10.59,49.48,1,10.59,49.39
3,10.44,1:00.02,4,10.47,1:00.11,2,10.43,59.91,1,10.41,59.80
3,10.35,1:10.37,4,10.34,1:10.45,2,10.39,1:10.30,1,10.38,1:10.18
1,9.96,1:20.33,3,10.02,1:20.47,4,10.21,1:20.51,2,10.15,1:20.33
1,9.58,1:29.91,2,9.65,1:30.12,4,10.03,1:30.54,3,9.92,1:30.25
1,9.84,1:39.750,2,9.68,1:39.798,3,9.85,1:40.388,4,10.34,1:40.588
