Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME
2,6.956,6.956,1,6.836,6.836,4,7.257,7.257,3,7.143,7.143
2,9.294,16.250,1,9.262,16.098,3,9.295,16.551,4,9.551,16.693
1,8.860,25.109,2,9.264,25.361,3,9.072,25.623,4,9.031,25.724
1,9.187,34.296,4,9.724,35.084,2,9.236,34.859,3,9.303,35.026
1,9.75,44.044,4,10.02,45.102,2,9.48,44.339,3,9.74,44.762
