Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME
1,12.751,12.751,3,12.989,12.989,4,13.015,13.015,2,12.855,12.855
3,9.716,22.466,1,9.333,22.321,2,9.452,22.466,4,9.618,22.473
2,9.687,32.153,1,9.728,32.049,3,9.808,32.274,4,9.857,32.329
4,9.994,42.146,3,9.940,41.988,2,9.528,41.801,1,5.090,37.418
4,9.166,51.312,2,9.103,51.091,1,9.063,50.864,3,13.789,51.207
2,8.942,1:00.253,3,9.480,1:00.570,1,9.172,1:00.035,4,9.831,1:01.038
2,9.034,1:09.286,3,9.839,1:10.409,1,9.154,1:09.189,4,9.584,1:10.621
2,9.399,1:18.685,3,9.719,1:20.127,1,9.329,1:18.518,4,9.676,1:20.297
2,10.12,1:28.796,0,,DQ,1,10.21,1:28.723,3,9.69,1:29.981
