ZYCH Magdalena POSITION,ZYCH Magdalena LAP TIME,ZYCH Magdalena ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME
2,13.68,13.68,1,13.59,13.59,3,13.80,13.80,5,14.01,14.01,4,13.89,13.89
3,10.82,24.50,1,10.73,24.32,2,10.61,24.41,5,10.71,24.72,4,10.72,24.61
3,10.39,34.89,1,10.37,34.69,2,10.39,34.80,5,10.43,35.15,4,10.38,34.99
4,9.86,44.75,1,9.84,44.53,2,9.78,44.58,5,9.93,45.08,3,9.75,44.74
4,9.61,54.36,2,9.47,54.00,3,9.49,54.07,5,9.71,54.79,1,9.05,53.79
4,9.77,1:04.13,2,9.27,1:03.27,3,9.48,1:03.55,5,9.99,1:04.78,1,9.34,1:03.13
4,10.17,1:14.30,2,9.43,1:12.70,3,9.49,1:13.04,5,10.41,1:15.19,1,9.43,1:12.56
4,10.62,1:24.92,2,9.51,1:22.21,3,9.73,1:22.77,5,10.93,1:26.12,1,9.50,1:22.06
4,11.30,1:36.22,2,9.57,1:31.78,3,10.14,1:32.91,5,11.45,1:37.57,1,9.55,1:31.61
