Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
3,12.41,12.41,5,12.57,12.57,1,12.18,12.18,4,12.50,12.50,2,12.28,12.28
3,9.76,22.17,5,9.79,22.36,1,9.69,21.87,4,9.78,22.28,2,9.74,22.02
3,9.45,31.62,5,9.41,31.77,1,9.48,31.35,4,9.42,31.70,2,9.46,31.48
3,9.28,40.90,5,9.35,41.12,2,9.41,40.76,4,9.30,41.00,1,9.26,40.74
3,9.05,49.95,5,8.96,50.08,2,9.09,49.85,4,8.96,49.96,1,9.01,49.75
5,9.66,59.61,4,9.07,59.15,2,9.03,58.88,3,9.06,59.02,1,9.04,58.79
5,9.84,1:09.45,4,9.08,1:08.23,2,9.16,1:08.04,3,9.11,1:08.13,1,9.17,1:07.96
5,10.26,1:19.71,4,9.41,1:17.64,2,9.39,1:17.43,3,9.41,1:17.54,1,9.38,1:17.34
5,11.72,1:31.435,4,9.40,1:27.044,2,9.46,1:26.89,3,9.44,1:26.98,1,9.47,1:26.81
