Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Mai SHINKAI POSITION,Mai SHINKAI LAP TIME,Mai SHINKAI ELAPSED TIME
1,10.600,59.670,3,10.710,59.920,2,10.580,59.740
1,10.240,1:09.920,3,10.180,1:10.110,2,10.290,1:10.030
1,10.360,1:20.280,2,10.300,1:20.410,3,10.390,1:20.420
2,10.520,1:30.800,1,10.320,1:30.740,3,10.470,1:30.900
2,10.460,1:41.260,1,10.480,1:41.230,3,10.530,1:41.430
