Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
2,13.52,13.52,3,13.61,13.61,1,13.42,13.42,4,13.94,13.94
2,10.09,23.61,3,10.06,23.67,1,10.10,23.52,4,10.02,23.96
3,10.03,33.64,2,9.88,33.55,1,9.90,33.42,4,9.85,33.81
3,9.98,43.62,2,9.95,43.50,1,9.99,43.41,4,9.90,43.71
4,9.63,53.25,1,9.59,53.09,2,9.78,53.19,3,9.53,53.24
4,9.59,1:02.84,2,9.58,1:02.67,3,9.57,1:02.76,1,9.42,1:02.66
3,9.62,1:12.46,2,9.68,1:12.35,4,9.82,1:12.58,1,9.34,1:12.00
3,9.81,1:22.27,2,9.81,1:22.16,4,9.82,1:22.40,1,9.68,1:21.68
4,10.29,1:32.559,2,10.18,1:32.337,3,9.99,1:32.390,1,10.12,1:31.793
