SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME
3,8.99,8.99,2,8.91,8.91,5,9.18,9.18,1,8.88,8.88,4,9.11,9.11
2,12.11,21.10,4,12.40,21.31,5,12.32,21.50,3,12.32,21.20,1,11.84,20.95
2,11.35,32.45,4,11.29,32.60,5,11.22,32.72,3,11.32,32.52,1,11.39,32.34
2,11.37,43.82,4,11.43,44.03,5,11.43,44.15,3,11.41,43.93,1,11.34,43.68
2,11.13,54.95,5,11.12,55.15,4,10.98,55.13,3,11.11,55.04,1,11.17,54.85
3,10.03,1:04.98,4,9.89,1:05.04,1,9.26,1:04.39,2,9.55,1:04.59,5,10.47,1:05.32
3,9.33,1:14.31,4,9.37,1:14.41,1,9.58,1:13.97,2,9.44,1:14.03,5,9.39,1:14.71
3,9.62,1:23.93,4,9.61,1:24.02,1,9.80,1:23.77,2,9.81,1:23.84,5,9.37,1:24.08
3,9.54,1:33.47,4,9.55,1:33.57,1,9.50,1:33.27,2,9.53,1:33.37,5,9.67,1:33.75
3,9.43,1:42.90,4,9.43,1:43.00,1,9.47,1:42.74,2,9.44,1:42.81,5,9.44,1:43.19
3,9.44,1:52.34,4,9.56,1:52.56,1,9.33,1:52.07,2,9.36,1:52.17,5,9.42,1:52.61
3,9.23,2:01.57,5,9.86,2:02.42,1,9.28,2:01.35,2,9.29,2:01.46,4,9.58,2:02.19
3,9.39,2:10.96,5,10.29,2:12.71,1,9.35,2:10.70,2,9.34,2:10.80,4,9.87,2:12.06
3,9.63,2:20.585,5,10.70,2:23.402,1,9.61,2:20.309,2,9.65,2:20.444,4,10.12,2:22.175
