LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
2,13.29,13.29,3,13.41,13.41,1,13.15,13.15,4,13.60,13.60
2,10.20,23.49,3,10.17,23.58,1,10.22,23.37,4,10.09,23.69
2,9.74,33.23,1,9.56,33.14,3,9.88,33.25,4,9.63,33.32
4,9.71,42.94,1,9.46,42.60,3,9.55,42.80,2,9.39,42.71
4,9.33,52.27,1,9.27,51.87,3,9.30,52.10,2,9.28,51.99
4,9.16,1:01.43,1,9.24,1:01.11,3,9.21,1:01.31,2,9.17,1:01.16
4,9.12,1:10.55,2,9.24,1:10.35,3,9.16,1:10.47,1,9.04,1:10.20
3,9.02,1:19.57,2,9.16,1:19.51,4,9.26,1:19.73,1,9.12,1:19.32
2,9.15,1:28.719,3,9.44,1:28.943,4,9.70,1:29.429,1,9.30,1:28.612
