WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
2,13.54,13.54,1,13.38,13.38,3,13.65,13.65,4,13.77,13.77
2,10.20,23.74,1,10.23,23.61,3,10.17,23.82,4,10.18,23.95
2,10.03,33.77,1,10.05,33.66,3,10.08,33.90,4,10.06,34.01
1,9.58,43.35,3,9.78,43.44,2,9.53,43.43,4,9.62,43.63
1,9.69,53.04,3,9.78,53.22,2,9.70,53.13,4,9.73,53.36
1,9.50,1:02.54,3,9.48,1:02.70,2,9.49,1:02.62,4,9.49,1:02.85
1,9.19,1:11.73,3,9.32,1:12.02,2,9.23,1:11.85,4,9.39,1:12.24
1,9.06,1:20.79,3,9.01,1:21.03,2,9.04,1:20.89,4,9.45,1:21.69
1,9.09,1:29.871,3,9.11,1:30.137,2,9.07,1:29.957,4,9.95,1:31.636
