Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
5,7.54,7.54,3,7.31,7.31,4,7.44,7.44,1,6.75,6.75,2,7.18,7.18
5,9.87,17.41,4,9.71,17.02,3,9.44,16.88,1,8.83,15.58,2,9.17,16.35
4,9.03,26.44,5,9.55,26.57,3,8.89,25.77,1,8.69,24.27,2,8.55,24.90
4,9.41,35.85,5,9.69,36.26,3,9.30,35.07,1,8.89,33.16,2,8.51,33.41
4,9.59,45.417,5,10.07,46.33,3,9.58,44.571,2,9.37,42.531,1,8.85,42.261
