Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
1,7.17,7.17,3,7.34,7.34,2,7.25,7.25,4,7.40,7.40
1,9.28,16.45,3,9.27,16.61,2,9.29,16.54,4,9.27,16.67
3,8.87,25.32,2,8.57,25.18,1,8.57,25.11,4,8.74,25.41
3,8.60,33.92,1,8.53,33.71,2,8.68,33.79,4,8.63,34.04
3,8.60,42.520,1,8.62,42.322,2,8.63,42.414,4,8.64,42.680
