OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
2,7.23,7.23,1,7.18,7.18,3,7.47,7.47
2,9.46,16.69,1,9.45,16.63,3,9.35,16.82
1,8.89,25.58,3,9.15,25.78,2,8.94,25.76
1,9.24,34.82,3,9.20,34.98,2,9.16,34.92
1,9.43,44.245,3,9.62,44.592,2,9.40,44.319
