HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME,Nathalie PRESCHER POSITION,Nathalie PRESCHER LAP TIME,Nathalie PRESCHER ELAPSED TIME
3,14.79,14.79,2,14.68,14.68,4,14.89,14.89,5,14.95,14.95,1,14.56,14.56
3,11.05,25.84,2,11.08,25.76,5,11.08,25.97,4,10.96,25.91,1,11.06,25.62
4,10.80,36.64,2,10.71,36.47,3,10.52,36.49,5,10.79,36.70,1,10.82,36.44
4,10.09,46.73,1,9.98,46.45,2,10.05,46.54,5,10.26,46.96,3,10.23,46.67
2,10.34,57.07,1,10.38,56.83,3,10.57,57.11,5,10.34,57.30,4,10.58,57.25
3,10.70,1:07.77,1,10.04,1:06.87,2,10.32,1:07.43,5,10.97,1:08.27,4,10.75,1:08.00
3,10.70,1:18.47,1,10.05,1:16.92,2,10.21,1:17.64,5,10.75,1:19.02,4,10.57,1:18.57
3,10.87,1:29.34,1,10.26,1:27.18,2,10.56,1:28.20,5,11.01,1:30.03,4,10.82,1:29.39
4,11.27,1:40.610,1,10.55,1:37.728,2,11.15,1:39.344,5,11.11,1:41.133,3,10.54,1:39.928
