HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
2,12.60,12.60,3,12.61,12.61,5,12.86,12.86,4,12.75,12.75,6,12.97,12.97,1,12.55,12.55
1,9.41,22.01,3,9.55,22.16,5,9.55,22.41,4,9.52,22.27,6,9.55,22.52,2,9.54,22.09
1,9.66,31.67,3,9.73,31.89,4,9.62,32.03,5,9.77,32.04,6,9.67,32.19,2,9.70,31.79
2,9.54,41.21,3,9.45,41.34,4,9.34,41.37,5,9.47,41.51,6,9.47,41.66,1,9.35,41.14
2,9.30,50.51,3,9.27,50.61,4,9.33,50.70,5,9.33,50.84,6,9.44,51.10,1,9.31,50.45
2,9.39,59.90,3,9.40,1:00.01,5,9.43,1:00.13,4,9.25,1:00.09,6,9.34,1:00.44,1,9.39,59.84
2,9.22,1:09.12,4,9.32,1:09.33,5,9.21,1:09.34,3,9.13,1:09.22,6,9.40,1:09.84,1,9.20,1:09.04
1,9.01,1:18.13,4,9.26,1:18.59,5,9.54,1:18.88,3,9.17,1:18.39,6,9.75,1:19.59,2,9.11,1:18.15
0,,PHOTO,3,8.99,1:27.58,5,9.56,1:28.44,4,9.46,1:27.85,6,9.96,1:29.55,0,,PHOTO
