Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Min-Kyung CHOI POSITION,Min-Kyung CHOI LAP TIME,Min-Kyung CHOI ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
6,9.306,9.306,5,9.272,9.272,2,8.930,8.930,4,9.241,9.241,3,9.028,9.028,1,8.917,8.917,7,9.385,9.385
5,11.327,20.632,6,11.523,20.795,2,11.616,20.546,3,11.369,20.610,4,11.595,20.622,1,11.453,20.369,7,11.572,20.957
5,10.576,31.207,6,10.624,31.418,1,10.553,31.098,4,10.583,31.192,3,10.526,31.148,2,10.752,31.121,7,10.501,31.458
5,10.998,42.205,7,10.921,42.339,3,10.985,42.082,2,10.887,42.078,4,10.961,42.108,1,10.779,41.900,6,10.813,42.271
7,10.891,53.095,5,10.465,52.804,3,10.560,52.641,4,10.611,52.689,2,10.486,52.594,1,10.454,52.353,6,10.704,52.974
7,10.510,1:03.605,5,10.626,1:03.429,2,10.450,1:03.091,4,10.553,1:03.241,3,10.539,1:03.133,1,10.622,1:02.974,6,10.460,1:03.434
7,10.330,1:13.934,5,10.374,1:13.803,1,10.136,1:13.226,4,10.340,1:13.580,3,10.376,1:13.509,2,10.364,1:13.338,6,10.426,1:13.859
7,10.349,1:24.283,6,10.142,1:23.944,4,10.600,1:23.825,3,10.216,1:23.796,2,10.274,1:23.783,1,10.107,1:23.444,5,10.009,1:23.867
7,10.406,1:34.689,4,10.240,1:34.183,5,10.522,1:34.347,1,10.133,1:33.928,6,10.644,1:34.427,3,10.599,1:34.042,2,10.150,1:34.017
7,10.607,1:45.296,3,10.081,1:44.263,5,10.451,1:44.797,2,10.245,1:44.173,6,10.429,1:44.855,4,10.420,1:44.462,1,9.990,1:44.007
7,11.293,1:56.588,3,10.201,1:54.464,5,10.734,1:55.531,2,10.238,1:54.410,6,10.974,1:55.828,4,10.211,1:54.672,1,10.148,1:54.154
7,11.659,2:08.246,3,10.393,2:04.857,5,11.617,2:07.147,2,10.280,2:04.690,6,12.120,2:07.948,4,10.400,2:05.072,1,10.312,2:04.466
6,11.628,2:19.874,3,10.534,2:15.390,5,11.799,2:18.945,2,10.586,2:15.275,7,12.907,2:20.855,4,11.118,2:16.189,1,10.405,2:14.871
6,12.06,2:31.928,3,11.74,2:27.129,5,12.56,2:31.503,2,10.70,2:25.969,7,13.37,2:34.222,4,12.20,2:28.381,1,10.77,2:25.635
