Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Balazs KOVER POSITION,Balazs KOVER LAP TIME,Balazs KOVER ELAPSED TIME
3,16.079,16.079,2,15.958,15.958,4,16.128,16.128,1,15.839,15.839
3,12.700,28.779,2,12.801,28.758,4,12.860,28.987,1,12.753,28.591
2,12.144,40.922,4,13.030,41.787,3,12.183,41.169,1,12.259,40.849
3,10.614,51.536,1,9.501,51.288,4,10.476,51.645,2,10.571,51.420
3,10.319,1:01.855,1,10.461,1:01.748,4,10.377,1:02.021,2,10.406,1:01.826
4,10.044,1:11.898,2,9.929,1:11.677,1,9.598,1:11.618,3,10.047,1:11.872
2,9.274,1:21.172,3,9.560,1:21.237,1,9.403,1:21.020,4,9.783,1:21.655
2,9.081,1:30.253,3,9.555,1:30.791,1,9.142,1:30.162,4,10.046,1:31.701
1,9.42,1:39.667,3,9.91,1:40.693,2,9.95,1:40.107,4,10.33,1:42.022
