PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME
1,12.75,12.75,3,13.03,13.03,2,12.88,12.88,5,13.32,13.32,4,13.17,13.17
1,9.94,22.69,3,9.92,22.95,2,9.93,22.81,4,9.73,23.05,5,9.90,23.07
3,9.91,32.60,4,9.82,32.77,2,9.73,32.54,1,9.41,32.46,5,9.81,32.88
3,9.75,42.35,4,9.67,42.44,2,9.74,42.28,1,9.72,42.18,5,9.66,42.54
3,9.85,52.20,5,14.77,57.21,2,9.85,52.13,1,9.87,52.05,4,9.96,52.50
3,9.57,1:01.77,5,16.43,1:13.64,2,9.56,1:01.69,1,9.51,1:01.56,4,9.93,1:02.43
3,9.25,1:11.02,5,11.97,1:25.61,1,9.12,1:10.81,2,9.34,1:10.90,4,10.02,1:12.45
3,9.15,1:20.17,5,11.77,1:37.38,1,9.15,1:19.96,2,9.17,1:20.07,4,10.69,1:23.14
3,9.33,1:29.50,5,11.57,1:48.95,1,9.23,1:29.19,2,9.19,1:29.26,4,11.02,1:34.16
