Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
2,12.56,12.56,5,12.80,12.80,4,12.73,12.73,1,12.49,12.49,3,12.65,12.65,5,12.80,12.80
2,9.50,22.06,5,9.54,22.34,6,9.76,22.49,1,9.47,21.96,4,9.63,22.28,3,9.39,22.19
1,9.18,31.24,3,9.12,31.46,6,9.29,31.78,2,9.40,31.36,4,9.30,31.58,5,9.53,31.72
2,9.16,40.40,3,8.96,40.42,6,9.07,40.85,1,8.95,40.31,4,9.00,40.58,5,9.04,40.76
1,9.21,49.61,2,9.27,49.69,6,9.12,49.97,4,9.58,49.89,3,9.21,49.79,4,9.13,49.89
1,9.26,58.87,2,9.29,58.98,5,9.32,59.29,4,9.28,59.17,3,9.27,59.06,6,9.48,59.37
2,9.08,1:07.95,1,8.89,1:07.87,5,9.10,1:08.39,4,9.00,1:08.17,3,8.98,1:08.04,6,9.16,1:08.53
2,8.92,1:16.87,1,8.92,1:16.79,5,9.04,1:17.43,4,8.87,1:17.04,3,8.90,1:16.94,6,9.13,1:17.66
0,,PHOTO,0,,PHOTO,5,9.29,1:26.704,4,9.07,1:26.095,3,9.13,1:26.056,6,9.37,1:27.016
