Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
2,13.92,13.92,1,13.73,13.73,4,14.06,14.06,3,13.99,13.99
2,11.43,25.35,1,11.46,25.19,4,11.52,25.58,3,11.49,25.48
2,10.85,36.20,1,10.87,36.06,4,10.80,36.38,3,10.83,36.31
2,10.24,46.44,1,10.26,46.32,4,10.29,46.67,3,10.27,46.58
2,10.15,56.59,1,10.16,56.48,4,10.11,56.78,3,10.12,56.70
2,9.80,1:06.39,1,9.79,1:06.27,4,9.78,1:06.56,3,9.76,1:06.46
2,9.99,1:16.38,1,10.02,1:16.29,4,10.00,1:16.56,3,10.00,1:16.46
3,10.01,1:26.39,1,9.89,1:26.18,4,9.94,1:26.50,2,9.79,1:26.25
3,10.33,1:36.719,2,10.27,1:36.449,4,10.29,1:36.782,1,10.07,1:36.315
