Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,David GROSSENBACHER POSITION,David GROSSENBACHER LAP TIME,David GROSSENBACHER ELAPSED TIME,Josef MIKA POSITION,Josef MIKA LAP TIME,Josef MIKA ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
2,12.743,12.743,4,13.142,13.142,1,12.383,12.383,3,13.065,13.065
2,9.460,22.203,3,9.370,22.511,1,9.787,22.170,4,9.457,22.522
2,9.560,31.762,4,9.601,32.112,1,9.532,31.701,3,9.415,31.936
1,10.188,41.950,4,9.982,42.094,2,10.253,41.954,3,10.136,42.071
1,9.930,51.879,4,10.361,52.455,3,10.138,52.091,2,9.983,52.054
2,9.933,1:01.812,4,9.847,1:02.301,3,10.052,1:02.143,1,9.748,1:01.801
1,9.761,1:11.572,3,10.055,1:12.355,4,10.401,1:12.543,2,9.957,1:11.757
1,10.100,1:21.671,3,10.021,1:22.376,4,10.502,1:23.044,2,9.939,1:21.696
2,10.38,1:32.045,3,10.40,1:32.767,4,10.77,1:33.814,1,9.81,1:31.504
