CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME
2,7.10,7.10,1,7.07,7.07,3,7.33,7.33,4,7.47,7.47
1,9.26,16.36,3,9.52,16.59,2,9.13,16.46,4,9.19,16.66
1,8.69,25.05,3,8.66,25.25,2,8.66,25.12,4,8.72,25.38
1,8.56,33.61,3,8.63,33.88,2,8.54,33.66,4,8.64,34.02
1,8.91,42.509,3,8.72,42.593,2,8.88,42.545,4,9.05,43.066
