KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Tomasz WROBLEWSKI POSITION,Tomasz WROBLEWSKI LAP TIME,Tomasz WROBLEWSKI ELAPSED TIME
2,7.000,7.000,1,6.790,6.790,3,7.060,7.060,4,7.410,7.410
2,9.140,16.140,1,9.220,16.020,4,9.510,16.580,3,9.150,16.560
2,8.940,25.080,1,8.920,24.940,3,8.630,25.220,4,8.890,25.450
1,8.760,33.850,2,8.920,33.860,3,9.000,34.230,4,9.090,34.540
1,9.010,42.860,3,9.450,43.320,2,8.770,43.010,4,9.390,43.940
