Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
4,10.27,10.27,2,10.17,10.17,3,10.25,10.25,5,10.43,10.43,6,10.46,10.46,1,10.15,10.15
4,13.93,24.20,2,13.93,24.10,5,14.02,24.27,3,13.72,24.15,6,13.92,24.38,1,13.83,23.98
5,12.47,36.67,3,12.43,36.53,4,12.30,36.57,1,12.01,36.16,6,12.46,36.84,2,12.32,36.30
5,11.30,47.97,3,11.17,47.70,4,11.29,47.86,1,11.34,47.50,6,11.23,48.07,2,11.26,47.56
5,10.95,58.92,3,11.04,58.74,4,10.98,58.84,1,10.95,58.45,6,10.96,59.03,2,11.03,58.59
5,10.68,1:09.60,3,10.66,1:09.40,4,10.67,1:09.51,1,10.70,1:09.15,6,10.64,1:09.67,2,10.66,1:09.25
5,10.30,1:19.90,3,10.32,1:19.72,4,10.31,1:19.82,1,10.30,1:19.45,6,10.33,1:20.00,2,10.31,1:19.56
5,9.81,1:29.71,3,9.86,1:29.58,4,9.84,1:29.66,1,9.89,1:29.34,6,9.81,1:29.81,2,9.83,1:29.39
5,9.51,1:39.22,3,9.45,1:39.03,4,9.49,1:39.15,2,9.52,1:38.86,6,9.56,1:39.37,1,9.31,1:38.70
5,9.23,1:48.45,3,9.23,1:48.26,4,9.20,1:48.35,2,9.30,1:48.16,6,9.51,1:48.88,1,9.24,1:47.94
5,9.20,1:57.65,2,9.01,1:57.27,3,9.11,1:57.46,4,9.31,1:57.47,6,9.99,1:58.87,1,9.15,1:57.09
5,9.39,2:07.04,2,9.13,2:06.40,3,9.26,2:06.72,4,9.41,2:06.88,6,10.62,2:09.49,1,9.26,2:06.35
5,9.45,2:16.49,1,8.98,2:15.38,3,9.42,2:16.14,4,9.40,2:16.28,6,10.81,2:20.30,2,9.30,2:15.65
5,9.61,2:26.091,1,9.41,2:24.790,3,9.65,2:25.787,4,9.64,2:25.918,6,11.08,2:31.376,2,9.77,2:25.420
