Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
1,16.118,16.118,3,16.260,16.260,2,16.135,16.135,4,16.269,16.269
4,11.036,27.154,2,10.738,26.997,3,11.012,27.147,1,10.584,26.853
3,9.495,36.648,1,9.575,36.572,4,9.707,36.853,2,9.779,36.632
1,9.438,46.086,3,9.554,46.125,2,9.273,46.125,4,9.593,46.224
1,9.389,55.474,4,9.726,55.851,2,9.477,55.602,3,9.519,55.742
1,9.329,1:04.803,4,9.122,1:04.973,2,9.315,1:04.916,3,9.231,1:04.973
2,9.331,1:14.134,4,9.302,1:14.275,1,9.217,1:14.133,3,9.222,1:14.194
2,9.432,1:23.565,3,9.340,1:23.615,1,9.192,1:23.325,4,9.469,1:23.662
3,9.62,1:33.181,4,9.74,1:33.350,1,9.70,1:33.020,2,9.41,1:33.073
