Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,13.40,13.40,2,13.30,13.30,4,13.47,13.47,1,13.21,13.21
2,10.61,24.01,3,10.73,24.03,4,10.72,24.19,1,10.80,24.01
1,9.77,33.78,4,10.15,34.18,3,9.90,34.09,2,9.86,33.87
1,9.78,43.56,4,9.73,43.91,3,9.73,43.82,2,9.80,43.67
1,9.59,53.15,4,9.49,53.40,3,9.55,53.37,2,9.59,53.26
1,9.32,1:02.47,3,9.16,1:02.56,4,9.49,1:02.86,2,9.29,1:02.55
1,9.15,1:11.62,2,9.12,1:11.68,4,9.40,1:12.26,3,9.23,1:11.78
3,9.32,1:20.94,1,9.10,1:20.78,4,9.49,1:21.75,2,9.13,1:20.91
3,9.42,1:30.360,1,9.16,1:29.934,4,9.66,1:31.409,2,9.09,1:29.995
