HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME
4,12.83,,5,12.96,12.96,3,12.78,12.78,2,12.73,12.73,1,12.63,12.63,6,13.11,13.11
4,9.75,,5,9.72,22.68,3,9.71,22.49,1,9.52,22.25,2,9.79,22.42,6,9.72,22.83
5,9.53,,4,9.41,32.09,3,9.55,32.04,1,9.64,31.89,2,9.55,31.97,6,9.49,32.32
5,9.65,,4,9.56,41.65,3,9.49,41.53,1,9.52,41.41,2,9.48,41.45,6,9.61,41.93
5,8.96,,4,9.04,50.69,2,8.97,50.50,3,9.21,50.62,1,8.98,50.43,6,9.11,51.04
3,8.86,,4,9.00,59.69,2,8.91,59.41,6,9.74,1:00.36,1,8.91,59.34,5,9.14,1:00.18
3,8.94,,4,8.93,1:08.62,2,8.94,1:08.35,5,9.24,1:09.60,1,8.94,1:08.28,6,9.49,1:09.67
3,9.09,,4,9.07,1:17.69,2,9.15,1:17.50,5,9.47,1:19.07,1,9.14,1:17.42,6,9.79,1:19.46
4,9.38,,3,9.28,1:26.978,2,9.37,1:26.87,4,9.83,1:28.909,1,9.39,1:26.81,5,10.11,1:29.577
