Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Eduardo ALVAREZ POSITION,Eduardo ALVAREZ LAP TIME,Eduardo ALVAREZ ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME
2,7.05,7.05,1,6.91,6.91,3,7.17,7.17,4,7.31,7.31,5,7.47,7.47
1,8.95,16.00,2,9.28,16.19,3,9.15,16.32,4,9.17,16.48,5,9.16,16.63
1,8.57,24.57,4,20.00,36.19,5,19.91,36.23,2,8.72,25.20,3,8.72,25.35
1,8.66,33.23,5,19.72,55.91,4,13.02,49.25,2,8.86,34.06,3,8.82,34.17
1,8.90,42.125,5,16.41,1:12.312,4,10.58,59.829,2,9.05,43.103,3,9.00,43.168
