Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME
3,9.83,9.83,2,9.76,9.76,5,10.22,10.22,4,9.99,9.99,1,9.63,9.63
4,13.57,23.40,2,13.53,23.29,3,13.18,23.40,5,13.54,23.53,1,13.53,23.16
5,12.80,36.20,3,12.51,35.80,4,12.62,36.02,1,12.11,35.64,2,12.56,35.72
5,12.26,48.46,3,12.21,48.01,4,12.31,48.33,2,12.29,47.93,1,12.21,47.93
5,11.10,59.56,3,11.31,59.32,4,11.12,59.45,2,11.30,59.23,1,11.21,59.14
5,11.22,1:10.78,2,11.08,1:10.40,4,11.21,1:10.66,1,11.11,1:10.34,3,11.34,1:10.48
5,10.73,1:21.51,2,10.74,1:21.14,4,10.74,1:21.40,1,10.71,1:21.05,3,10.75,1:21.23
5,10.80,1:32.31,2,10.80,1:31.94,4,10.80,1:32.20,1,10.83,1:31.88,3,10.85,1:32.08
5,10.23,1:42.54,1,10.18,1:42.12,4,10.22,1:42.42,2,10.35,1:42.23,3,10.28,1:42.36
5,9.86,1:52.40,2,9.94,1:52.06,4,9.79,1:52.21,1,9.82,1:52.05,3,9.84,1:52.20
4,9.58,2:01.98,3,9.89,2:01.95,1,9.29,2:01.50,2,9.67,2:01.72,5,10.17,2:02.37
4,10.68,2:12.66,5,10.96,2:12.91,1,9.55,2:11.05,2,9.64,2:11.36,3,10.28,2:12.65
3,10.16,2:22.82,4,10.48,2:23.39,1,9.68,2:20.73,2,9.78,2:21.14,5,10.98,2:23.63
3,10.65,2:33.461,0,,PEN,1,9.88,2:30.610,2,10.20,2:31.332,4,11.63,2:35.257
