JUNG Ba-Ra POSITION,JUNG Ba-Ra LAP TIME,JUNG Ba-Ra ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME
3,14.29,14.29,4,14.37,14.37,2,14.26,14.26,1,14.25,14.25
3,11.15,25.45,2,11.05,25.42,1,11.05,25.31,4,11.28,25.53
4,11.54,36.99,2,11.44,36.87,1,11.36,36.67,3,11.44,36.97
4,11.38,48.38,2,11.34,48.22,1,11.39,48.07,3,11.34,48.32
2,9.89,58.28,1,10.04,58.26,4,10.35,58.42,3,10.03,58.35
1,9.58,1:07.86,2,9.65,1:07.92,4,9.69,1:08.12,3,9.67,1:08.03
1,9.75,1:17.62,2,9.84,1:17.76,3,9.81,1:17.93,4,9.98,1:18.01
1,9.87,1:27.49,2,9.76,1:27.52,4,10.17,1:28.10,3,9.97,1:27.98
2,10.02,1:37.508,1,9.88,1:37.399,4,10.10,1:38.192,3,10.17,1:38.144
