HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,12.73,12.73,2,12.85,12.85,4,13.04,13.04,5,13.16,13.16,3,12.96,
1,9.66,22.39,2,9.63,22.48,5,9.78,22.82,4,9.52,22.68,3,9.62,
1,9.34,31.73,2,9.34,31.82,5,9.31,32.13,4,9.36,32.04,3,9.35,
1,9.32,41.05,2,9.31,41.13,5,9.31,41.44,4,9.30,41.34,3,9.32,
1,9.34,50.39,2,9.32,50.45,5,9.29,50.73,4,9.30,50.64,3,9.29,
3,9.39,59.78,1,9.14,59.59,4,9.15,59.88,2,9.10,59.74,4,9.34,
3,8.90,1:08.68,1,8.88,1:08.47,4,8.88,1:08.76,2,8.86,1:08.60,5,8.97,
3,8.75,1:17.43,1,8.83,1:17.30,4,8.78,1:17.54,2,8.74,1:17.34,5,8.78,
3,8.87,1:26.30,2,8.97,1:26.27,4,8.88,1:26.408,1,8.86,1:26.20,5,8.92,
