Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME
1,6.93,6.93,3,7.06,7.06,4,7.28,7.28,2,6.96,6.96,5,7.43,7.43
1,8.91,15.84,3,9.09,16.15,4,9.24,16.52,2,9.05,16.01,5,9.22,16.65
1,8.58,24.42,3,8.40,24.55,5,9.11,25.63,2,8.50,24.51,4,8.74,25.39
1,8.68,33.10,2,8.82,33.37,5,9.16,34.79,3,9.03,33.54,4,9.12,34.51
1,8.82,41.92,2,9.09,42.46,5,9.22,44.01,3,8.97,42.51,4,9.35,43.86
