OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME
2,13.11,13.11,3,13.32,13.32,1,13.01,13.01,4,13.44,13.44
2,9.42,22.53,3,9.36,22.68,1,9.43,22.44,4,9.39,22.83
3,9.20,31.73,2,8.95,31.63,1,9.19,31.63,4,9.03,31.86
2,9.17,40.90,1,9.15,40.78,3,9.37,41.00,4,9.25,41.11
4,9.57,50.47,1,9.41,50.19,3,9.41,50.41,2,9.29,50.40
4,9.70,1:00.17,1,9.27,59.46,2,9.33,59.74,3,9.48,59.88
4,9.50,1:09.67,1,9.33,1:08.79,2,9.42,1:09.16,3,9.33,1:09.21
4,9.72,1:19.39,1,9.50,1:18.29,3,9.64,1:18.80,2,9.50,1:18.71
4,10.34,1:29.723,1,9.82,1:28.106,3,9.90,1:28.700,2,9.77,1:28.479
