Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,8.21,8.21,2,8.34,8.34,3,8.34,8.34,4,8.49,8.49,5,8.67,8.67
5,11.36,19.57,3,11.09,19.43,2,11.05,19.39,4,11.03,19.52,1,10.67,19.34
5,10.81,30.38,3,10.76,30.19,2,10.66,30.05,4,10.75,30.27,1,10.60,29.94
5,10.88,41.26,3,10.87,41.06,2,10.90,40.95,4,10.87,41.14,1,10.80,40.74
4,10.69,51.95,3,10.86,51.92,2,10.78,51.73,5,10.87,52.01,1,10.92,51.66
1,9.46,1:01.41,5,9.80,1:01.72,3,9.91,1:01.64,4,9.69,1:01.70,2,9.87,1:01.53
3,10.03,1:11.44,5,9.98,1:11.70,2,9.77,1:11.41,4,9.85,1:11.55,1,9.84,1:11.37
3,9.74,1:21.18,5,9.55,1:21.25,1,9.59,1:21.00,4,9.69,1:21.24,2,9.74,1:21.11
3,9.85,1:31.03,5,10.04,1:31.29,1,9.84,1:30.84,4,9.85,1:31.09,2,9.77,1:30.88
4,9.80,1:40.83,5,9.64,1:40.93,3,9.90,1:40.74,2,9.64,1:40.73,1,9.65,1:40.53
3,9.50,1:50.33,5,9.55,1:50.48,4,9.70,1:50.44,2,9.51,1:50.24,1,9.67,1:50.20
3,9.42,1:59.75,5,9.47,1:59.95,2,9.26,1:59.70,1,9.44,1:59.68,4,9.71,1:59.91
3,9.40,2:09.15,4,9.65,2:09.60,1,9.07,2:08.77,2,9.32,2:09.00,5,10.15,2:10.06
3,9.61,2:18.753,4,10.06,2:19.658,1,9.50,2:18.267,2,9.50,2:18.499,5,10.73,2:20.788
